time_years,Ca,Si,Al,Mg,S,C
1775.1036285544974,0.1594199890852441,4.825405440477497,0.16128493151116038,0.00011552219701397487,8.453223624430814,0.22368245069680884
1783.8546648400422,0.15921568982020845,4.862888279351465,0.15718178090828153,0.00011482800430506185,8.550731666569895,0.22408845053912946
1792.6932114884428,0.15902798945945962,4.900096939050355,0.15321703749172594,0.00011414614276327638,8.64826992291632,0.22448106051158578
1801.6201436033273,0.15885660506663318,4.9369927496939745,0.14938950654350905,0.00011347703163762318,8.745716796175364,0.22486027848885834
1810.6363450393605,0.15870173062257317,4.973537425974678,0.14569782932854683,0.00011282148905777687,8.842976634329931,0.22522656454410958
1819.7427084897542,0.15856216219826239,5.009688004815253,0.14214065112561414,0.00011218006905488864,8.939866342211385,0.2255794742896724
1828.940135574652,0.1584382053755394,5.045408060519579,0.13871625717279654,0.00011155267799786704,9.036300720838275,0.22591934474513523
1838.2295369303986,0.15832912961733928,5.08065199243858,0.13542321085127995,0.00011094128390040054,9.132115595900823,0.2262465946032845
1847.6118322997024,0.15823454717601768,5.115385543748068,0.1322593410115222,0.00011034399334673161,9.227191615525166,0.2265607926449214
1857.0879506226995,0.15815398258553476,5.1495617815505135,0.1292230461042571,0.00010976356386681526,9.32137612990513,0.22686280380330368
1866.6588301289266,0.15808685706976716,5.183142718232562,0.12631213951835737,0.00010919955617667081,9.414531297180728,0.22715256659187524
1876.325418430216,0.15803248950690882,5.216090326553997,0.12352439622442461,0.0001086518627043295,9.506513305322743,0.22743017322418502
1886.0886726145181,0.1579902822581331,5.248364692925076,0.12085759046829207,0.00010812140377760138,9.597180182418848,0.2276959920584179
1895.9495593406632,0.15795951584270052,5.279929605965305,0.11830928788166459,0.00010760820330320338,9.686391488859504,0.2279502095964846
1905.90905493407,0.1579395528581009,5.310747677692711,0.11587702147140727,0.00010711312761496883,9.774010481739767,0.22819322841195377
1915.9681454834106,0.15792940100404934,5.340792291721895,0.11355799659585396,0.00010663418190918399,9.85990390794694,0.22842478236060382
1926.1278269382447,0.1579285850598835,5.370023198269841,0.11134976076848552,0.00010617469208891254,9.943940676660956,0.22864594944778724
1936.3891052076272,0.1579361381174972,5.398419594331958,0.10924927217750853,0.0001057319158195838,10.026005967854571,0.22885628154680565
1946.7529962597032,0.15795134585002354,5.425952633195098,0.10725373828379962,0.00010530705901971645,10.10598285851279,0.2290563665544314
1957.2205262223004,0.15797341148962288,5.4526027691814845,0.10536009384290425,0.00010489882192412725,10.183772595043953,0.2292462184515647
1967.7927314845233,0.15800157901653278,5.478344872458674,0.10356548363960758,0.00010450944652785198,10.2592675912317,0.22942662852670428
1978.4706587993685,0.1580350834987015,5.50316640919947,0.10186670172750299,0.00010413735435010958,10.33239052673002,0.22959758757981188
1989.2553653873622,0.1580731898043601,5.5270542004258125,0.10026062475709735,0.00010378261821267637,10.403066106958416,0.22975945249580373
2000.147919041236,0.15811518320676282,5.549999707335985,0.09874405710749033,0.00010344481768066837,10.47123265045324,0.2299124889959571
2011.1493982316483,0.15816038431148297,5.571997408559495,0.09731379593127437,0.00010312377550048926,10.536839413285682,0.23005702453216886
2022.2608922139648,0.15820814750134854,5.593045562727678,0.0959666105484249,0.00010281917520862039,10.599848048412099,0.23019336823865277
2033.4835011361045,0.1582577912908996,5.613142104571628,0.09469937239654082,0.00010253221527765276,10.6602195984023,0.23032210091481023
2044.8183361474655,0.15830897780388392,5.632304203801382,0.09350851680434714,0.00010225788251519777,10.717979460333012,0.2304427228178515
2056.2665195089403,0.15836089771343248,5.650525950799308,0.09239122543065843,0.00010200150017322777,10.77307701013396,0.2305565412797427
2067.8291847040296,0.15841332467263053,5.6678338007760285,0.09134390064059156,0.0001017570430728134,10.825567788660246,0.23066287049599443
2079.50747655107,0.15846585947145633,5.6842309883536455,0.0903636688560136,0.00010152843507250052,10.875449468504346,0.23076295039199332
2091.302551316581,0.15851775385434394,5.699739551439625,0.08944731057373255,0.00010131374659118546,10.922740815367597,0.2308565297678464
2103.215576829746,0.15856890213545702,5.71438007217907,0.08859171850138577,0.00010111229680482588,10.967497057367892,0.23094402837837028
2115.247732598044,0.15861904318914408,5.728175774595111,0.0877938462810923,0.00010092336050278997,11.009771192942233,0.2310257156257644
2127.4002099240247,0.1586677910775546,5.741149395144128,0.08705078058560166,0.00010074712436412013,11.049609247010144,0.23110193782904676
2139.6742120232648,0.15871510742539877,5.753329689628228,0.08635956090833069,0.00010058221636734309,11.087091301814914,0.2311729109048837
2152.0709541434976,0.15876072415903877,5.764743475545826,0.08571739148336381,0.00010042847346151637,11.122280640932546,0.23123892597925602
2164.5916636849324,0.15880454310984515,5.775420085051216,0.08512152830083337,0.00010028531013865341,11.155256770039188,0.2313002598105719
2177.237580321782,0.15884602130430178,5.785385834459727,0.08456943303002913,0.00010015366396267195,11.186067741494515,0.23135716377532697
2190.009956125,0.1588859489699796,5.794678649021072,0.08405830302756745,0.0001000300883772471,11.214862500932812,0.23140990172744322
2202.91005568625,0.1589238526852815,5.80332591497638,0.08358578470509015,9.991557511035827e-05,11.241695951928737,0.2314587208904121
2215.9391562431124,0.15895965228107714,5.811358522723757,0.08314950756350131,9.980976076220824e-05,11.266652685294797,0.23150384472327495
2229.0985478055436,0.15899348576066907,5.818809103872955,0.08274714322170507,9.971160508060316e-05,11.289833214911628,0.23154548541124226
2242.389533283599,0.15902526019458826,5.825707372469801,0.08237654496597883,9.962114520149861e-05,11.311318811999886,0.2315838858397475
2255.813428616435,0.15905502533804414,5.832084278366658,0.08203561199194095,9.953777768374842e-05,11.331200800907151,0.23161923918229346
2269.371562902599,0.15908278401689988,5.8379691872790564,0.08172237239297264,9.946132004503476e-05,11.349564282325488,0.23165176781737878
2283.065278531625,0.15910870816392741,5.8433929178593464,0.0814348844205568,9.939077654028197e-05,11.366505909892036,0.23168162653218208
2296.895931316941,0.1591328383080939,5.848383690102987,0.08117135802143875,9.932586437622365e-05,11.382109124445941,0.2317090049241196
2310.864890630111,0.15915518528524691,5.852968365468252,0.08093011182297094,9.92664906682704e-05,11.396452239049633,0.23173409375604154
2324.973539536412,0.15917583043023367,5.857173570545526,0.08070953323147992,9.921229273371024e-05,11.40961613509177,0.2317570612698187
2339.223274931776,0.15919491442447076,5.861025774790587,0.08050807263787771,9.916258822197918e-05,11.421683602339252,0.23177803715945877
2353.6155076810937,0.1592124916975275,5.864549083709104,0.08032430789436883,9.911720055571446e-05,11.432727099684643,0.2317971803355116
2368.1516627579044,0.15922864723414112,5.867766904218549,0.08015688896531849,9.907580927621058e-05,11.44281835209395,0.2318146289256562
2382.8331793854836,0.15924348554329948,5.870702134729525,0.08000452789982339,9.903784806022427e-05,11.452027887065231,0.2318304767627345
2397.661511179339,0.1592570513823708,5.873374630469598,0.07986607724115076,9.900355963492422e-05,11.460416615592122,0.2318449181780031
2412.638126291132,0.15926942872250405,5.875803350193459,0.07974046027618943,9.897309645177787e-05,11.468045106364825,0.23185814889615924
2427.7645075540436,0.15928073343851598,5.878010406920913,0.07962652759365146,9.894483982272836e-05,11.474978116229936,0.23187004142764137
2443.0421526295836,0.15929102477849866,5.880011883883363,0.07952336594620425,9.891923887314344e-05,11.481267384212797,0.23188081290747806
2458.4725741558796,0.15930037572389114,5.881824378939872,0.07943007431395177,9.889608568396404e-05,11.486964460031349,0.23189055797588007
2474.057299897438,0.15930885996906488,5.883463518788557,0.07934581228218489,9.887515286571301e-05,11.492118040348318,0.23189936070694817
2489.797872896412,0.15931654372325346,5.8849438138202945,0.07926980245941821,9.88562615654778e-05,11.496773319636732,0.23190730313921212
2505.6958516253762,0.1593234909591835,5.886278816051534,0.07920132349919674,9.883923502778855e-05,11.500972587936786,0.23191446012333422
2521.75281014163,0.15932973664178823,5.887480501151476,0.07913972752591915,9.882414881378561e-05,11.504752804925648,0.23192093127194865
2537.9703382430466,0.1593353884078077,5.88856182353167,0.07908435856201028,9.881037233133079e-05,11.508155395687156,0.2319267202571775
2554.3500416254774,0.15934047378452187,5.889532991865022,0.07903466726067701,9.879800485208756e-05,11.511211847755414,0.2319319164089743
2570.893542041732,0.1593450423457894,5.890404024651676,0.07899012950242797,9.878691706764079e-05,11.513953542456118,0.23193657429225065
2587.602477462149,0.15934914022846602,5.891184166731722,0.07895026321222769,9.877698988963981e-05,11.516409457816463,0.23194074412781365
2604.478502236771,0.15935281025227052,5.8918819335235915,0.0789146256359038,9.876811381805852e-05,11.518606302244043,0.23194447206500185
2621.5232872591387,0.1593560920501961,5.892505154345718,0.07888281074562933,9.876018833335492e-05,11.520568645725344,0.2319478004474171
2638.7385201317297,0.15935902221191944,5.8930610151449825,0.07885444673592888,9.875312130403936e-05,11.522319050256476,0.2319507680680473
2656.1259053330473,0.15936163443816392,5.893556099705438,0.07882919365357387,9.874682842386018e-05,11.523878196393628,0.23195341040859563
2673.687164386378,0.15936395969475353,5.893996430103831,0.07880674111770805,9.874123266464666e-05,11.525265007390253,0.23195575987924355
2691.4240360302415,0.15936602637152406,5.89438750504293,0.07878680617755089,9.873626376081064e-05,11.52649676796085,0.23195784603328312
2709.338276390544,0.15936786044162926,5.894734337104988,0.07876913126716657,9.873185771460817e-05,11.527589239493153,0.23195969578103792
2727.4316591544493,0.1593694856176732,5.895041488160541,0.07875348227633368,9.872795632731522e-05,11.528556770067008,0.23196133358808202
2745.705975745994,0.15937092350380855,5.89531310298559,0.07873964673770902,9.872450675704835e-05,11.529412398981862,0.2319627816629741
2764.1630355034536,0.15937219374525854,5.89555294132799,0.07872743211204322,9.872146109952731e-05,11.530167956688476,0.23196406013590973
2782.804665858488,0.1593733141718843,5.895764408200646,0.07871666417963534,9.871877599359398e-05,11.530834159393333,0.23196518722571113
2801.632712517073,0.15937430093328833,5.895950582023253,0.0787071855485126,9.871641225397488e-05,11.531420697042227,0.23196617939183997
2820.6490396422437,0.1593751686344807,5.896114241904553,0.07869885423059735,9.871433452189821e-05,11.531936318691447,0.23196705148817434
2839.8555300386656,0.1593759304545021,5.896257892142979,0.0786915423479669,9.871251094421843e-05,11.532388909318877,0.23196781688906198
2859.2540853390524,0.15937659826745848,5.896383786323129,0.07868513489127364,9.87109128676552e-05,11.532785565059843,0.23196848763076072
2878.8466261924427,0.15937718275169976,5.896493948566633,0.0786795286023593,9.870951456202388e-05,11.533132660418243,0.23196907451408438
2898.635092454367,0.1593776934928799,5.896590194328921,0.07867463090912728,9.870829295618818e-05,11.533435913009274,0.23196958722757396
2918.621443378911,0.1593781390796109,5.896674148972124,0.0786703589596994,9.870722739844262e-05,11.53370044215095,0.23197003444191724
2938.8076578127,0.15937852719828344,5.896747265557329,0.07866663870746408,9.870629943054781e-05,11.53393082494756,0.23197042390517572
2959.195734390827,0.1593788647087906,5.896810840597435,0.07866340410082182,9.870549258454056e-05,11.534131145389269,0.23197076253105936
2979.7876917347357,0.1593791577281333,5.896866029277697,0.07866059630145115,9.870479219015193e-05,11.534305042612115,0.23197105647757207
3000.585568652083,0.15937941169942432,5.896913859164236,0.078658162982897,9.870418519947711e-05,11.534455753736646,0.2319713112225325
3021.591424338604,0.15937963145814887,5.8969552424613045,0.07865605769937514,9.870366003057983e-05,11.534586152710304,0.23197153162629933
3042.8073385819903,0.15937982128996572,5.896990987908788,0.07865423927957085,9.870320641520437e-05,11.534698787423041,0.23197172199931299
3064.2354119678103,0.15937998499179695,5.897021811127902,0.07865267129888107,9.87028152698464e-05,11.53479591260245,0.2319718861543495
