time_years,quartz,CSH,ettringite,thaumasite,monosulphate,monocarbonate,hydrotalcite,Kuzel_s,Friedel_s,straetlingite,calcite,MSH,gypsum,portlandite,zeolites,hydrogarnet,ferrihydrite,Al(OH)3(mic)
746.0,525.3844609804682,285.9362535523099,0.0,38.53545535222522,0.0,0.0,10.060523884877924,0.0,0.0,0.0,63.00280342507387,0.0,0.0,0.0,23.451678325466403,0.0,5.626186349764702,0.0
747.0,525.315973792771,286.0374113763542,0.0,38.53523721652985,0.0,0.0,10.060523884698716,0.0,0.0,0.0,63.002826572916646,0.0,0.0,0.0,23.451956533289497,0.0,5.626186350308449,0.0
748.0,525.2475469383754,286.1384976829839,0.0,38.53501869997903,0.0,0.0,10.060523884518538,0.0,0.0,0.0,63.002849763778876,0.0,0.0,0.0,23.45223299344322,0.0,5.626186350850809,0.0
749.0,525.1791803889715,286.23951234022894,0.0,38.534799869458794,0.0,0.0,10.060523884337393,0.0,0.0,0.0,63.00287299041007,0.0,0.0,0.0,23.452507726420386,0.0,5.626186351391902,0.0
750.0,525.1108741163796,286.34045531742964,0.0,38.534580579940524,0.0,0.0,10.060523884155275,0.0,0.0,0.0,63.002896268540155,0.0,0.0,0.0,23.45278073866539,0.0,5.626186351931498,0.0
751.0,525.0426280928932,286.4413264841154,0.0,38.53436090072583,0.0,0.0,10.060523883972168,0.0,0.0,0.0,63.00291959066039,0.0,0.0,0.0,23.453052050406672,0.0,5.626186352469711,0.0
752.0,524.9744422909283,286.54212570192163,0.0,38.53414091601018,0.0,0.0,10.06052388378809,0.0,0.0,0.0,63.00294294763928,0.0,0.0,0.0,23.453321682719732,0.0,5.626186353006701,0.0
753.0,524.9063166830055,286.6428529401923,0.0,38.533920490469974,0.0,0.0,10.060523883603016,0.0,0.0,0.0,63.002966354160215,0.0,0.0,0.0,23.453589642269858,0.0,5.626186353542244,0.0
754.0,524.8382512421017,286.7435080577092,0.0,38.533699718183485,0.0,0.0,10.06052388341696,0.0,0.0,0.0,63.002989800020934,0.0,0.0,0.0,23.45385595021336,0.0,5.626186354076504,0.0
755.0,524.7702459412809,286.8440910040131,0.0,38.53347850958393,0.0,0.0,10.060523883229898,0.0,0.0,0.0,63.0030132949424,0.0,0.0,0.0,23.454120616047604,0.0,5.626186354609337,0.0
756.0,524.702300753991,286.9446016239038,0.0,38.53325698837701,0.0,0.0,10.060523883041842,0.0,0.0,0.0,63.00303682550452,0.0,0.0,0.0,23.45438366220189,0.0,5.626186355140964,0.0
757.0,524.6344156537212,287.0450398913099,0.0,38.53303502131396,0.0,0.0,10.060523882852776,0.0,0.0,0.0,63.0030604061704,0.0,0.0,0.0,23.45464509531488,0.0,5.626186355671164,0.0
758.0,524.5665906144161,287.14540568289414,0.0,38.53281267155346,0.0,0.0,10.060523882662707,0.0,0.0,0.0,63.00308403009044,0.0,0.0,0.0,23.454904933710363,0.0,5.6261863562000505,0.0
759.0,524.4988256101556,287.24569888114434,0.0,38.532589990255346,0.0,0.0,10.060523882471625,0.0,0.0,0.0,63.003107691714185,0.0,0.0,0.0,23.45516319471033,0.0,5.626186356727721,0.0
760.0,524.431120615181,287.34591945730705,0.0,38.53236685787368,0.0,0.0,10.060523882279526,0.0,0.0,0.0,63.00313140402113,0.0,0.0,0.0,23.455419885590022,0.0,5.6261863572539745,0.0
761.0,524.3634756041661,287.4460672611494,0.0,38.53214339187694,0.0,0.0,10.060523882086404,0.0,0.0,0.0,63.00315515426405,0.0,0.0,0.0,23.455675027112893,0.0,5.626186357779024,0.0
762.0,524.2958905518364,287.54614226036335,0.0,38.531919483925954,0.0,0.0,10.060523881892255,0.0,0.0,0.0,63.00317895420613,0.0,0.0,0.0,23.455928627070627,0.0,5.62618635830269,0.0
763.0,524.2283654333331,287.64614434356406,0.0,38.531695179891926,0.0,0.0,10.06052388169708,0.0,0.0,0.0,63.00320279887259,0.0,0.0,0.0,23.45618070178863,0.0,5.626186358825058,0.0
764.0,524.1609002239649,287.7460733950412,0.0,38.53147053358993,0.0,0.0,10.06052388150087,0.0,0.0,0.0,63.0032266824238,0.0,0.0,0.0,23.45643126772385,0.0,5.626186359346226,0.0
765.0,524.0934948991971,287.8459293644659,0.0,38.53124547730455,0.0,0.0,10.060523881303624,0.0,0.0,0.0,63.00325061221522,0.0,0.0,0.0,23.456680334614198,0.0,5.626186359866089,0.0
766.0,524.0261494348443,287.94571217941007,0.0,38.531019986094904,0.0,0.0,10.060523881105324,0.0,0.0,0.0,63.00327459095756,0.0,0.0,0.0,23.456927914487963,0.0,5.626186360384609,0.0
767.0,523.9588638070024,288.0454217168708,0.0,38.53079413214853,0.0,0.0,10.060523880905986,0.0,0.0,0.0,63.003298610817275,0.0,0.0,0.0,23.45717402424812,0.0,5.626186360901918,0.0
768.0,523.8916379918969,288.1450579160384,0.0,38.53056787195109,0.0,0.0,10.060523880705597,0.0,0.0,0.0,63.00332267652255,0.0,0.0,0.0,23.45741867460966,0.0,5.626186361417948,0.0
769.0,523.8244719660644,288.24462070175645,0.0,38.53034119068483,0.0,0.0,10.060523880504146,0.0,0.0,0.0,63.00334678968638,0.0,0.0,0.0,23.457661877688075,0.0,5.626186361932682,0.0
770.0,523.7573657063042,288.3441099548357,0.0,38.530114155172384,0.0,0.0,10.060523880301636,0.0,0.0,0.0,63.00337094305628,0.0,0.0,0.0,23.45790364946473,0.0,5.626186362446237,0.0
771.0,523.6903191895548,288.44352563112284,0.0,38.529886696151884,0.0,0.0,10.060523880098062,0.0,0.0,0.0,63.00339514415586,0.0,0.0,0.0,23.458143999122548,0.0,5.626186362958511,0.0
772.0,523.6233323931069,288.54286764693035,0.0,38.529658818892955,0.0,0.0,10.060523879893417,0.0,0.0,0.0,63.00341939241867,0.0,0.0,0.0,23.458382939302066,0.0,5.626186363469509,0.0
773.0,523.5564052944836,288.6421359068675,0.0,38.52943054951496,0.0,0.0,10.060523879687697,0.0,0.0,0.0,63.003443685009735,0.0,0.0,0.0,23.458620483599052,0.0,5.626186363979293,0.0
774.0,523.4895378714117,288.74133033338484,0.0,38.52920188370019,0.0,0.0,10.060523879480895,0.0,0.0,0.0,63.003468022402835,0.0,0.0,0.0,23.458856643902347,0.0,5.626186364487854,0.0
775.0,523.4227301018672,288.84045087045627,0.0,38.52897278037109,0.0,0.0,10.060523879273008,0.0,0.0,0.0,63.00349240906299,0.0,0.0,0.0,23.45909143038445,0.0,5.626186364995137,0.0
776.0,523.3559819641322,288.93949739078005,0.0,38.528743325893046,0.0,0.0,10.06052387906404,0.0,0.0,0.0,63.00351683561493,0.0,0.0,0.0,23.459324858758333,0.0,5.626186365501284,0.0
777.0,523.2892934365965,289.03846987163166,0.0,38.528513421817365,0.0,0.0,10.060523878853976,0.0,0.0,0.0,63.003541312752766,0.0,0.0,0.0,23.459556936438947,0.0,5.626186366006149,0.0
778.0,523.2226644980477,289.1373682042982,0.0,38.52828312421934,0.0,0.0,10.060523878642817,0.0,0.0,0.0,63.0035658343924,0.0,0.0,0.0,23.45978767749489,0.0,5.626186366509824,0.0
779.0,523.1560951274267,289.236192332835,0.0,38.52805239556386,0.0,0.0,10.06052387843055,0.0,0.0,0.0,63.003590404612105,0.0,0.0,0.0,23.460017091846126,0.0,5.6261863670122585,0.0
